ticker,event_date,filing_form_type,constructed_url,original_score,llm_adjustment,shadow_score,original_tier,shadow_tier,tier_move,catalyst_type,materiality,sentiment,confidence,validation_status,quote_validation_pass,final_should_affect_score,evidence_quote
CTRA,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/858470/000110465926008979/tm264761d1_8k.htm,43.582710856863564,5.0,48.582710856863564,Reject,C,Reject→C,merger_acquisition,high,bullish,0.9,valid,True,True,"On February 1, 2026, Coterra Energy Inc., a Delaware corporation (the “ Company ” or “ Coterra ”), entered into an Agreement and Plan of Merger (the “ Merger Agreement ”), with Devon Energy Corporation, a Delaware corporation (“ Devon ”), and Cubs Merger Sub, Inc., a Delaware corporation and a direct, wholly-owned subsidiary of Devon (“ Merger Sub ”)."
VG,2026-03-27,8-K,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000021/vg-20260326.htm,42.116173708616856,5.0,47.116173708616856,Reject,C,Reject→C,regulatory,high,bullish,0.9,valid,True,True,"Venture Global, Inc. (“Venture Global”) issued a press release on March 26, 2026, regarding a settlement agreement between Venture Global Calcasieu Pass, LLC (“VGCP”) and Edison S.p.A. (“Edison”)."
QCOM,2026-04-30,10-Q,https://www.sec.gov/Archives/edgar/data/804328/000080432826000061/qcom-20260329.htm,53.4375,0.0,53.4375,C,C,,unknown,none,neutral,0.0,valid,True,False,
KDP,2026-04-24,10-Q,https://www.sec.gov/Archives/edgar/data/1418135/000141813526000026/kdp-20260331.htm,52.5,0.0,52.5,C,C,,unknown,none,neutral,0.0,valid,True,False,
EPD,2026-02-03,8-K,https://www.sec.gov/Archives/edgar/data/1061219/000119312525318675/d792387d8k.htm,47.08333333333333,5.0,52.08333333333333,C,C,,merger_acquisition,high,bullish,0.9,valid,True,True,the closing of ExxonMobil’s acquisition of a 40-percent undivided joint interest in Enterprise’s Bahia natural gas liquids pipeline has been completed.
PG,2026-02-23,10-Q,https://www.sec.gov/Archives/edgar/data/80424/000008042426000011/pg-20251231.htm,52.08333333333333,0.0,52.08333333333333,C,C,,unknown,none,neutral,0.0,valid,True,False,
ORCL,2026-04-22,8-K,https://www.sec.gov/Archives/edgar/data/1341439/000119312526142939/d132760d8k.htm,46.5625,5.0,51.5625,C,C,,management_change,high,bullish,0.9,valid,True,True,"On April 6, 2026, Oracle Corporation (“Oracle”) announced that Hilary Maxson will join Oracle as Chief Financial Officer on April 6, 2026."
UAL,2026-02-06,8-K,https://www.sec.gov/Archives/edgar/data/100517/000110465926009237/tm263646d5_8k.htm,51.25,0.0,51.25,C,C,,unknown,none,neutral,0.0,valid,True,False,
DHI,2026-04-21,8-K,https://www.sec.gov/Archives/edgar/data/882184/000088218426000053/dhi-20260327.htm,51.25,0.0,51.25,C,C,,merger_acquisition,high,bullish,0.8,weak_evidence,True,False,"Pursuant to the terms of Amendment No. 13, the Administrative Agent and the Lenders party thereto agreed to, among other things, (i) increase the Aggregate Revolving Credit Commitment to $3.295 billion across multiple maturity tranches"
GD,2026-02-03,10-K,https://www.sec.gov/Archives/edgar/data/40533/000004053326000006/gd-20251231.htm,50.3125,0.0,50.3125,C,C,,unknown,none,neutral,0.0,valid,True,False,
