ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
A,True,3,True,62,True,fresh
AAPL,False,,True,3,True,missing
ABBV,True,3,True,73,True,fresh
ABEV,True,3,True,62,True,fresh
ABNB,True,3,True,81,True,fresh
ABT,True,3,True,5,True,fresh
ACGL,True,3,True,67,True,fresh
ACN,True,3,True,46,True,fresh
ADBE,True,3,True,40,True,fresh
ADI,True,3,True,75,True,fresh
ADM,True,3,True,76,True,fresh
ADP,True,3,True,4,True,fresh
ADSK,True,3,True,62,True,fresh
AEE,True,3,True,75,True,fresh
AEM,True,3,True,46,True,fresh
AEP,True,3,True,81,True,fresh
AES,False,,True,63,False,missing
AFL,True,3,True,68,True,fresh
AIG,True,3,True,3,True,fresh
AIZ,False,,True,74,False,missing
AJG,True,3,True,76,True,fresh
AKAM,False,,True,73,False,missing
ALAB,True,3,True,73,True,fresh
ALB,False,,True,82,False,missing
ALC,True,3,True,69,True,fresh
ALGN,False,,True,66,False,missing
ALL,True,3,True,5,True,fresh
ALLE,False,,True,6,False,missing
ALNY,True,3,True,4,True,fresh
AMAT,True,3,True,74,True,fresh
AMCR,False,,True,89,False,missing
AMD,True,3,True,89,True,fresh
AME,True,3,True,4,True,fresh
AMGN,True,3,True,3,True,fresh
AMP,True,3,True,74,True,fresh
AMRZ,True,3,True,75,True,fresh
AMT,True,3,True,6,True,fresh
AMX,True,3,True,6,True,fresh
AMZN,True,3,True,4,True,fresh
ANET,True,3,True,76,True,fresh
AON,True,3,True,3,True,fresh
AOS,False,,True,4,False,missing
APA,False,,True,67,False,missing
APD,True,3,True,4,True,fresh
APH,True,3,True,3,True,fresh
APO,True,3,True,68,True,fresh
APP,True,3,True,74,True,fresh
APTV,False,,True,87,False,missing
ARE,False,,True,7,False,missing
ARES,True,3,True,68,True,fresh
ARGX,True,3,True,46,True,fresh
ARM,True,3,True,341,True,fresh
ASML,True,3,True,68,True,fresh
ASTS,True,3,True,63,False,fresh
ASX,True,3,True,33,True,fresh
ATEYY,True,3,True,3966,True,fresh
ATO,True,3,True,90,True,fresh
AU,True,3,True,39,True,fresh
AVB,False,,False,,False,missing
AVGO,True,3,True,54,True,fresh
AVY,False,,False,,False,missing
AWK,False,,False,,False,missing
AXIA,True,3,True,10,False,fresh
AXON,True,3,True,68,True,fresh
AXP,True,3,True,11,True,fresh
AZN,True,3,True,69,False,fresh
AZO,True,3,True,45,True,fresh
B,True,3,True,66,True,fresh
BA,True,3,True,12,True,fresh
BABA,True,3,True,312,True,fresh
BAC,True,3,True,68,True,fresh
BAESY,True,3,False,,False,fresh
BALL,False,,False,,False,missing
BAM,True,3,True,63,False,fresh
BAX,False,,False,,False,missing
BBD,True,3,True,40,True,fresh
BBVA,True,3,True,73,True,fresh
BBY,False,,False,,False,missing
BCS,True,3,True,83,True,fresh
BDX,True,3,True,84,True,fresh
BE,True,3,True,5,True,fresh
BEN,False,,False,,False,missing
BF.B,False,,False,,False,missing
BG,False,,False,,False,missing
BHP,True,3,True,255,True,fresh
BIDU,True,3,True,48,False,fresh
BIIB,True,3,True,5,True,fresh
BK,True,3,True,68,True,fresh
BKNG,True,3,True,6,True,fresh
BKR,True,3,True,10,True,fresh
BLDR,False,,False,,False,missing
BLK,True,3,True,68,True,fresh
BMO,True,3,True,151,True,fresh
BMY,True,3,True,4,True,fresh
BN,True,3,True,47,False,fresh
BNS,True,3,True,153,True,fresh
BNTX,True,3,True,55,True,fresh
BP,True,3,True,59,False,fresh
BR,False,,False,,False,missing
BRK.B,False,,False,,False,missing
BRO,False,,False,,False,missing
BSBR,True,3,True,66,False,fresh
BSX,True,3,True,76,True,fresh
BTI,True,3,True,80,True,fresh
