ticker,priority,reason,last_price_date,last_filing_date,market_cap,sector
BF.B,1,no_prices|no_market_cap,,2026-03-04,,Consumer Staples
BRK.B,1,no_prices|no_market_cap,,2026-03-02,,Financials
CRDO,1,price_only_scored_miss,2026-05-01,2026-03-03,33967221120.0,
CRWD,1,price_only_scored_miss,2026-05-01,2026-03-05,114866133201.59999,Information Technology
CVE,1,price_only_scored_miss,2026-05-01,2026-02-19,55127120663.57,
FIX,1,price_only_scored_miss,2026-05-01,2026-04-23,65694832740.0,Industrials
GD,1,price_only_scored_miss,2026-05-01,2026-04-29,93511594252.56,Industrials
GFS,1,price_only_scored_miss,2026-05-01,2026-02-27,36082719614.049995,
INTC,1,price_only_scored_miss,2026-05-01,2026-04-24,500391260000.0,Information Technology
JBL,1,price_only_scored_miss,2026-05-01,2026-04-08,36239570597.98,Information Technology
LITE,1,price_only_scored_miss,2026-05-01,2026-02-04,67825002000.0,Information Technology
MCHP,1,price_only_scored_miss,2026-05-01,2026-02-05,50839408239.75,Information Technology
MO,1,price_only_scored_miss,2026-05-01,2026-04-30,124820429041.34999,Consumer Staples
MTZ,1,price_only_scored_miss,2026-05-01,2026-04-30,33333110370.000004,
NBIS,1,price_only_scored_miss,2026-05-01,2026-04-30,39088591849.79,
NOK,1,price_only_scored_miss,2026-05-01,2026-03-05,76371787956.8,
NXPI,1,price_only_scored_miss,2026-05-01,2026-04-28,1271017057200.0,Information Technology
OMC,1,no_prices|no_fundamentals|no_market_cap,,,,Communication Services
ON,1,price_only_scored_miss,2026-05-01,2026-02-09,40876178969.53,Information Technology
ORCL,1,price_only_scored_miss,2026-05-01,2026-03-11,494011250000.00006,Information Technology
PFG,1,no_prices|no_fundamentals|no_market_cap,,,,Financials
PHM,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
PKG,1,no_prices|no_fundamentals|no_market_cap,,,,Materials
PNR,1,no_prices|no_fundamentals|no_market_cap,,,,Industrials
PNW,1,no_prices|no_fundamentals|no_market_cap,,,,Utilities
PODD,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
POOL,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
PPG,1,no_prices|no_fundamentals|no_market_cap,,,,Materials
PSKY,1,no_prices|no_fundamentals,,,12329208898.81,Communication Services
PTC,1,no_prices|no_fundamentals,,,16246539717.48,Information Technology
PWR,1,price_only_scored_miss,2026-05-01,2026-04-30,111373313142.56001,Industrials
REG,1,no_prices|no_fundamentals|no_market_cap,,,,Real Estate
RF,1,no_prices|no_fundamentals|no_market_cap,,,,Financials
RKLB,1,no_prices|no_market_cap,,2026-02-26,,
RL,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
RVTY,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
SBAC,1,no_prices|no_fundamentals|no_market_cap,,,,Real Estate
SBUX,1,price_only_scored_miss,2026-05-01,2026-04-28,120397710000.0,Consumer Discretionary
SJM,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Staples
SMCI,1,no_prices|no_fundamentals|no_market_cap,,,,Information Technology
SNA,1,no_prices|no_fundamentals|no_market_cap,,,,Industrials
SNDK,1,price_only_scored_miss,2026-05-01,2026-01-30,175676000000.0,Information Technology
SOLV,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
STE,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
STX,1,price_only_scored_miss,2026-05-01,2026-04-29,163128958325.09998,Information Technology
SW,1,no_prices|no_fundamentals|no_market_cap,,,,Materials
SWK,1,no_prices|no_fundamentals|no_market_cap,,,,Industrials
SWKS,1,no_prices|no_fundamentals|no_market_cap,,,,Information Technology
SYF,1,no_prices|no_fundamentals|no_market_cap,,,,Financials
TAP,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Staples
TECH,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
TKO,1,no_prices|no_fundamentals|no_market_cap,,,,Communication Services
TRMB,1,no_prices|no_fundamentals|no_market_cap,,,,Information Technology
TROW,1,no_prices|no_fundamentals|no_market_cap,,,,Financials
TSCO,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
TSLA,1,no_prices|no_market_cap,,2026-04-23,,Consumer Discretionary
TSN,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Staples
TTD,1,no_prices|no_fundamentals|no_market_cap,,,,Communication Services
TXN,1,price_only_scored_miss,2026-05-01,2026-04-24,255754276126.81998,Information Technology
TXT,1,no_prices|no_fundamentals,,,16490646955.52,Industrials
TYL,1,no_prices|no_fundamentals,,,14147181152.5,Information Technology
UBER,1,no_prices,,2026-02-13,153006283332.96002,Industrials
UDR,1,no_prices|no_fundamentals|no_market_cap,,,,Real Estate
UHS,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
ULTA,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
UMC,1,price_only_scored_miss,2026-05-01,2026-04-30,164275440289.2,
VLTO,1,no_prices|no_fundamentals|no_market_cap,,,,Industrials
VRSK,1,no_prices|no_fundamentals|no_market_cap,,,,Industrials
VRSN,1,no_prices|no_fundamentals|no_market_cap,,,,Information Technology
VTRS,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
WDC,1,price_only_scored_miss,2026-05-01,2026-05-01,148874400000.0,Information Technology
WRB,1,no_prices|no_fundamentals|no_market_cap,,,,Financials
WSM,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
WST,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
WY,1,no_prices|no_fundamentals|no_market_cap,,,,Real Estate
WYNN,1,no_prices|no_fundamentals|no_market_cap,,,,Consumer Discretionary
XYZ,1,no_prices|no_market_cap,,2026-02-26,,Financials
YUM,1,no_prices|no_market_cap,,2026-02-20,,Consumer Discretionary
ZBH,1,no_prices|no_fundamentals|no_market_cap,,,,Health Care
ZBRA,1,no_prices|no_fundamentals|no_market_cap,,,,Information Technology
ZTS,1,no_prices|no_market_cap,,2026-02-12,,Health Care
BAESY,3,no_fundamentals|no_market_cap,2026-05-01,,,
CSLLY,3,no_fundamentals|no_market_cap,2026-05-01,,,
FSNUY,3,no_fundamentals|no_market_cap,2026-05-01,,,
LSEGY,3,no_fundamentals|no_market_cap,2026-05-01,,,
RSHGY,3,no_fundamentals|no_market_cap,2026-05-01,,,
ASTS,4,no_market_cap,2026-05-01,2026-03-02,,
AXIA,4,no_market_cap,2026-05-01,2026-04-24,,
AZN,4,no_market_cap,2026-05-01,2026-02-24,,
BAM,4,no_market_cap,2026-05-01,2026-03-02,,
BIDU,4,no_market_cap,2026-05-01,2026-03-17,,
BN,4,no_market_cap,2026-05-01,2026-03-18,,
BP,4,no_market_cap,2026-05-01,2026-03-06,,
BSBR,4,no_market_cap,2026-05-01,2026-02-27,,
